Patroling Sections:
[402.114902514, -185.186179,0] -> [402.114902514, 214.813821,0] -> 
[488.717442892, -235.186179,0] -> [488.717442892, 264.813821,0] -> 
[575.319983271, -285.186179,0] -> [575.319983271, 314.813821,0] -> 
[661.922523649, -335.186179,0] -> [661.922523649, 364.813821,0] -> 
[748.525064028, -385.186179,0] -> [748.525064028, 414.813821,0] -> 
[835.127604406, -435.186179,0] -> [835.127604406, 464.813821,0] -> 
[921.730144784, -485.186179,0] -> [921.730144784, 514.813821,0] -> 
[921.730144784, 514.813821,0] -> [921.730144784, -485.186179,0] -> 
[835.127604406, 464.813821,0] -> [835.127604406, -435.186179,0] -> 
[748.525064028, 414.813821,0] -> [748.525064028, -385.186179,0] -> 
[661.922523649, 364.813821,0] -> [661.922523649, -335.186179,0] -> 
[575.319983271, 314.813821,0] -> [575.319983271, -285.186179,0] -> 
[488.717442892, 264.813821,0] -> [488.717442892, -235.186179,0] -> 
[402.114902514, 214.813821,0] -> [402.114902514, -185.186179,0] -> 
 End 

0: 402.114902514, 214.813821, 0 {270, 0} -> 402.114902514, -185.186179, 0
1: 402.114902513775, 211.898821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
2: 402.114902513775, 203.153821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
3: 402.114902513775, 185.923821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
4: 402.114902513775, 168.693821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
5: 402.114902513775, 151.463821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
6: 402.114902513775, 134.233821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
7: 402.114902513775, 117.003821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
8: 402.114902513775, 99.773821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
9: 402.114902513775, 82.543821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
10: 402.114902513775, 65.313821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
11: 402.114902513775, 48.083821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
12: 402.114902513775, 30.853821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
13: 402.114902513775, 13.623821000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
14: 402.114902513775, -3.606179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
15: 402.114902513775, -20.836179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
16: 402.114902513775, -38.066179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
17: 402.114902513775, -55.296179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
18: 402.114902513775, -72.526179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
19: 402.114902513775, -89.756179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
20: 402.114902513775, -106.986179000000, 0.000000000000 {270.000000000000, 270.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
