Patroling Sections:
[-344.295259, 14.813821,0] -> [55.704741, -385.186179,0] -> 
[-444.295259, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[-544.295259, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[-644.295259, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[-744.295259, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[-844.295259, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[-944.295259, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[55.704741, -985.186179,0] -> [-944.295259, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [-844.295259, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [-744.295259, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [-644.295259, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [-544.295259, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [-444.295259, 14.813821,0] -> 
[55.704741, -385.186179,0] -> [-344.295259, 14.813821,0] -> 
 End 

0: 55.704741, -385.186179, 0 {135, 0} -> -344.295259, 14.813821, 0
1: 53.643524732840, -383.124962732841, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
2: 47.459875931364, -376.941313931365, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
3: 37.397746435079, -366.879184435080, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
4: 27.335616938795, -356.817054938796, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
5: 17.273487442510, -346.754925442511, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
6: 7.211357946225, -336.692795946227, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
7: -2.850771550059, -326.630666449942, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
8: -12.912901046344, -316.568536953657, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
9: -22.975030542628, -306.506407457373, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
10: -33.037160038913, -296.444277961088, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
11: -43.099289535197, -286.382148464804, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
12: -53.161419031482, -276.320018968519, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
13: -63.223548527767, -266.257889472235, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
14: -73.285678024051, -256.195759975950, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
15: -83.347807520336, -246.133630479665, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
16: -93.409937016620, -236.071500983381, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
17: -103.472066512905, -226.009371487096, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
18: -113.534196009189, -215.947241990812, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
19: -123.596325505474, -205.885112494527, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
20: -133.658455001758, -195.822982998243, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
21: -143.720584498043, -185.760853501958, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
22: -153.782713994328, -175.698724005673, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
23: -163.844843490612, -165.636594509389, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
24: -173.906972986897, -155.574465013104, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
25: -183.969102483181, -145.512335516820, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
26: -194.031231979466, -135.450206020535, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
27: -204.093361475750, -125.388076524250, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
28: -214.155490972035, -115.325947027966, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
29: -224.217620468319, -105.263817531681, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
30: -234.279749964604, -95.201688035397, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
31: -244.341879460888, -85.139558539112, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
32: -254.404008957173, -75.077429042827, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
33: -264.466138453457, -65.015299546543, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
34: -274.528267949742, -54.953170050258, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
35: -284.590397446026, -44.891040553974, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
36: -294.652526942311, -34.828911057689, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
37: -304.714656438596, -24.766781561404, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
38: -314.776785934880, -14.704652065120, 0.000000000000 {135.000000000000, 135.000000000000} -> -344.295259000000, 14.813821000001, 0.000000000000
39: -314.776785934880, -14.704652065120, 0.000000000000 {101.874451000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
40: -314.776785934880, -14.704652065120, 0.000000000000 {135.000000000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
41: -314.776785934880, -14.704652065120, 0.000000000000 {168.125549000000, 315.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
