Patroling Sections:
[-290.705420514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
[-377.307960892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[-463.910501271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[-550.513041649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[-637.115582028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[-723.718122406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[-810.320662784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[55.704741, -985.186179,0] -> [-810.320662784, -485.186179,0] -> 
[55.704741, -885.186179,0] -> [-723.718122406, -435.186179,0] -> 
[55.704741, -785.186179,0] -> [-637.115582028, -385.186179,0] -> 
[55.704741, -685.186179,0] -> [-550.513041649, -335.186179,0] -> 
[55.704741, -585.186179,0] -> [-463.910501271, -285.186179,0] -> 
[55.704741, -485.186179,0] -> [-377.307960892, -235.186179,0] -> 
[55.704741, -385.186179,0] -> [-290.705420514, -185.186179,0] -> 
 End 

0: 55.704741, -385.186179, 0 {150, 0} -> -290.705420514, -185.186179, 0
1: 53.180276947967, -383.728679000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
2: 45.606884791872, -379.356179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
3: 30.685267084666, -370.741179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
4: 15.763649377461, -362.126179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
5: 0.842031670255, -353.511179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
6: -14.079586036951, -344.896179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
7: -29.001203744157, -336.281179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
8: -43.922821451363, -327.666179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
9: -58.844439158569, -319.051179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
10: -73.766056865775, -310.436179000000, 0.000000000000 {150.000000000000, 150.000000000000} -> -290.705420513776, -185.186178999999, 0.000000000000
