Patroling Sections:
[55.704741, -385.186179,0] -> [402.114902514, -185.186179,0] -> 
[55.704741, -485.186179,0] -> [488.717442892, -235.186179,0] -> 
[55.704741, -585.186179,0] -> [575.319983271, -285.186179,0] -> 
[55.704741, -685.186179,0] -> [661.922523649, -335.186179,0] -> 
[55.704741, -785.186179,0] -> [748.525064028, -385.186179,0] -> 
[55.704741, -885.186179,0] -> [835.127604406, -435.186179,0] -> 
[55.704741, -985.186179,0] -> [921.730144784, -485.186179,0] -> 
[921.730144784, -485.186179,0] -> [55.704741, -985.186179,0] -> 
[835.127604406, -435.186179,0] -> [55.704741, -885.186179,0] -> 
[748.525064028, -385.186179,0] -> [55.704741, -785.186179,0] -> 
[661.922523649, -335.186179,0] -> [55.704741, -685.186179,0] -> 
[575.319983271, -285.186179,0] -> [55.704741, -585.186179,0] -> 
[488.717442892, -235.186179,0] -> [55.704741, -485.186179,0] -> 
[402.114902514, -185.186179,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 402.114902514, -185.186179, 0 {210, 0} -> 55.704741, -385.186179, 0
1: 399.590438461743, -186.643679000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
2: 392.017046305648, -191.016179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
3: 377.095428598442, -199.631179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
4: 362.173810891236, -208.246179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
5: 347.252193184030, -216.861179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
6: 332.330575476824, -225.476179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
7: 317.408957769618, -234.091179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
8: 302.487340062412, -242.706179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
9: 287.565722355207, -251.321179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
10: 272.644104648001, -259.936179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
11: 257.722486940795, -268.551179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
12: 242.800869233589, -277.166179000001, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
13: 227.879251526383, -285.781179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
14: 212.957633819177, -294.396179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
15: 198.036016111971, -303.011179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
16: 183.114398404765, -311.626179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
17: 168.192780697559, -320.241179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
18: 153.271162990353, -328.856179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
19: 138.349545283147, -337.471179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
20: 123.427927575941, -346.086179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
21: 108.506309868736, -354.701179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
22: 93.584692161530, -363.316179000000, 0.000000000000 {210.000000000000, 210.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
23: 93.584692161530, -363.316179000000, 0.000000000000 {247.125549000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
24: 93.584692161530, -363.316179000000, 0.000000000000 {284.251098000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
25: 93.584692161530, -363.316179000000, 0.000000000000 {321.376647000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
26: 93.584692161530, -363.316179000000, 0.000000000000 {358.502196000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
27: 93.584692161530, -363.316179000000, 0.000000000000 {35.627745000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
28: 96.109156213561, -361.858679000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
29: 103.682548369656, -357.486179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
30: 118.604166076862, -348.871179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
31: 133.525783784068, -340.256179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
32: 148.447401491274, -331.641179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
33: 163.369019198480, -323.026179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
34: 178.290636905686, -314.411179000000, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
35: 193.212254612892, -305.796179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
36: 208.133872320098, -297.181179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
37: 223.055490027304, -288.566179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
38: 237.977107734509, -279.951179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
39: 252.898725441715, -271.336179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
40: 267.820343148921, -262.721179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
41: 282.741960856127, -254.106179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
42: 297.663578563333, -245.491179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
43: 312.585196270539, -236.876179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
44: 327.506813977745, -228.261179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
45: 342.428431684951, -219.646179000001, 0.000000000000 {30.000000000000, 30.000000000000} -> 402.114902513775, -185.186179000001, 0.000000000000
